year,doy,hourmin,temperature,humidity,pressure,wind,firecount
2012,296,700,290.57,82.0,1013.0,3.0,F
2012,296,800,290.47,93.0,1013.0,2.0,F
2012,296,900,290.5,88.0,1013.0,2.0,F
2012,296,1000,290.3,93.0,1012.0,2.0,F
2012,296,1100,290.32,93.0,1012.0,2.0,F
2012,296,1200,290.315,90.0,1011.0,2.0,F
2012,296,1300,290.31,88.0,1010.0,2.0,F
2012,296,1400,290.305,85.0,1009.0,2.0,F
2012,296,1500,290.3,83.0,1008.0,2.0,F
2012,296,1600,290.47,88.0,1014.0,1.0,F
2012,296,1700,290.75,88.0,1014.0,2.0,F
2012,296,1800,291.48,72.0,1014.0,4.0,F
2012,296,1900,292.08,72.0,1014.0,4.0,F
2012,296,2000,293.16,88.0,1014.0,4.0,F
2012,296,2100,292.9,77.0,1013.0,4.0,F
2012,296,2200,292.92,77.0,1013.0,5.0,F
2012,296,2300,292.81,72.0,1013.0,3.0,F
2012,297,0,292.48,77.0,1013.0,4.0,F
2012,297,100,291.78,88.0,1013.0,3.0,F
2012,297,200,291.37,82.0,1013.0,0.0,F
2012,297,300,291.22,82.0,1013.0,1.0,F
