year,doy,hoursmin,fire_name,mtbs_fire_name,cause,size,class,latitude,longitude
2006,204,1700.0,MEDIAN,"",Miscellaneous,0.1,A,34.75555556,-118.79444444
2006,226,2000.0,HIGH,"",Miscellaneous,0.1,A,34.37416667,-117.67888889
2006,227,0.0,CONFINED,"","Debris Burning",0.1,A,34.58277778,-118.68972222
2006,228,1400.0,BALE,"",Miscellaneous,0.1,A,34.36666667,-117.66111111
2006,229,1300.0,TIRE,"",Miscellaneous,0.1,A,34.73777778,-118.79444444
2006,231,1900.0,CONE,"",Miscellaneous,0.1,A,34.55833333,-118.67444444
2006,232,1900.0,ANGELES,"",Miscellaneous,0.1,A,34.50138889,-118.11444444
2006,233,1500.0,TRAILER,"","Equipment Use",0.1,A,34.61194444,-118.26916667
2006,234,500.0,SEMI,"","Equipment Use",0.25,A,34.55194444,-118.67
2006,237,2300.0,BENCH,"",Campfire,0.1,A,34.37888889,-118.40277778
2006,240,2000.0,PALMER,"",Miscellaneous,4.0,B,34.15777778,-117.69916667
2006,251,1200.0,GUN,"",Miscellaneous,17.0,C,34.16027778,-117.92
2006,181,2100.0,COPCO,"","Debris Burning",0.5,B,34.75555556,-118.77194444
2006,235,1000.0,JETTA,"","Equipment Use",0.1,A,34.65833333,-118.75555556
2006,240,1000.0,CROSS,"",Arson,645.0,E,34.37805556,-118.43944444
2006,241,1400.0,STONE,"","Equipment Use",3.0,B,34.54861111,-118.66527778
2006,245,1600.0,SUBURBAN,"","Equipment Use",0.25,A,34.59694444,-118.71388889
2006,247,1100.0,LABOR,"",Arson,15.0,C,34.53944444,-118.64833333
2006,247,1700.0,ROMERO,"","Equipment Use",0.5,B,34.48361111,-118.655
2006,254,1200.0,WHITAKER,"","Equipment Use",0.5,B,34.57805556,-118.70083333
2006,256,1000.0,SIDE,"","Equipment Use",1.0,B,34.47638889,-118.30277778
2006,260,1500.0,CALM,"",Children,2.0,B,34.45333333,-118.17805556
2006,261,1200.0,CORVO,"","Equipment Use",0.1,A,34.4825,-118.38166667
2006,267,1400.0,SHINN,"",Arson,0.1,A,34.16333333,-117.6825
2006,201,1500.0,JACKSON,"",Lightning,0.1,A,34.39194444,-117.72777778
2006,203,1300.0,JOSHUA,"",Lightning,0.1,A,34.45833333,-117.90972222
2006,203,1600.0,ROSS,"",Lightning,0.1,A,34.3325,-117.75666667
2006,267,2300.0,SPRUCE,"",Arson,0.1,A,34.18777778,-117.6775
2006,132,1300.0,CROWDER,"","Equipment Use",0.1,A,34.34666667,-117.45861111
2006,247,1400.0,SYCAMORE,"",Campfire,0.1,A,34.41361111,-117.825
